,DataRiferimento,Documento_Numero,Quantita,Origine,Catalogo,Gruppo,Famiglia,Codice_Hidros,Descrizione,ImportoNetto,Prodotto_Costoattuale
7598,2019-09-02,000463F,1.0,OYTB,Elettropompe e Serbatoi,Elettropompe ed Accessori,Elettropompe,PKM60,E.POMPA PKM60 HP 0 5 KW 0 37 220V,40.58,36.8
7599,2019-09-02,002653C,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,GUARCATIS,KIT GUARN. X BATTERIA CATIS,6.08,4.9023
7600,2019-09-03,000000A,-1.0,OMAN,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Lavatoio,MET60DX,MOB.C/LAVAT.SX - VASCHETTA A DX,118.35,-91.0
7601,2019-09-03,000000A,-1.0,OAMZ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Lavello Inox,MASTERA,LAV.MASTER 500 116X50 2VG AVENA,179.86,-137.5
7602,2019-09-03,000000A,-1.0,OMAN,Riscaldamento,Caldaie,Copricaldaia,BPL2000,MOBILE COPRICALDAIA C/SERR. ORIZZ.,49.58,-38.125
7603,2019-09-03,000464F,3.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Porta Doccia,GIOVE100,PORTA LIBRO ANTIPANICO 100 CM  6MM,423.09,365.49
7604,2019-09-03,002657C,1.0,EBAY,Rubinetteria ed Accessori,Accessori Rubinetteria,Tubo Wc,TUBMT2ACC,TUBO CARICO LAVATR. MT. 2 INOX C/C,12.95,3.5938
7605,2019-09-03,002658C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,CR1030S2,CASSETTA PLUS 2,15.18,12.259
7606,2019-09-03,002659C,1.0,OMAN,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Specchiera,FENMONIKAB,SPECCHIERA MONIKA cm.66 BIANCO,97.55,75.0
7607,2019-09-03,000465F,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,CASSBLITZ,CASSETTA SCARICO STIR BLITZ LT.12,28.66,22.04
7608,2019-09-03,002660C,1.0,OAMZ,Rubinetteria ed Accessori,Accessori Rubinetteria,Rubinetto lavanderia,S00311/2,RUBINETTO A SFERA CURVO M 1/2 CROMO,5.34,3.8818
7609,2019-09-03,000466F,7.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Sanitari,AVB2,LAVABO AD ANGOLO,243.81,187.46
7610,2019-09-03,002661C,1.0,OAMZ,Rubinetteria ed Accessori,Accessori Rubinetteria,Rubinetto lavanderia,S00311/2,RUBINETTO A SFERA CURVO M 1/2 CROMO,5.34,3.8818
7611,2019-09-03,002662C,1.0,OMAN,Elettropompe e Serbatoi,Elettropompe ed Accessori,Elettropompe,PM16,E.POMPA PM16/A HP 0 4 KW 0 3 220V,44.15,33.32
7612,2019-09-03,002663C,1.0,OMAN,Riscaldamento,Canne Fumarie,Canna Fumaria,3305055246040,CAPPELLO ANTIV. x CFS MPAR 80,13.39,10.1086
7613,2019-09-03,000467F,15.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Accessori Sanitari,GR4375800M,MEMBRANA UNIV. GROHE,45.9,35.9295
7614,2019-09-03,000467F,5.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,GR42320,VALVOLA DI SCARICO AV1,102.15,80.1085
7615,2019-09-03,002664C,100.0,OMAN,Ferramenta e Hobbistica,Giardinaggio,Microirrigazione,IM7146000N052,INNESTO OLIVA F.5 25 X MICR.PE IRR,2.0,1.55
7616,2019-09-03,002665C,1.0,OAMZ,Elettropompe e Serbatoi,Elettropompe ed Accessori,Elettropompe,PKM60,E.POMPA PKM60 HP 0 5 KW 0 37 220V,46.26,36.8
7617,2019-09-03,002666C,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Morsetti e Guarnizioni,BO8429LX10B0,MANICOTTO ECC. WC BIPOWER 60 MM,3.84,2.8998
7618,2019-09-03,002667C,1.0,OMAN,Rubinetteria ed Accessori,Accessori Rubinetteria,Flessibile Doccia,FLEX1,LACCIO DOCCIA MT.1.50 F3/8 F1/2,5.55,4.1875
7619,2019-09-04,002668C,2.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Morsetti e Guarnizioni,BO8428LX10B0,MANICOTTO ECC. WC BIPOWER 40 MM,7.68,5.7996
7620,2019-09-04,002669C,1.0,EBAY,Riscaldamento,Caldaie,Accessori Sistemi Fumari,KP393060100,CURVA 90 COAS.60/100 X BAX/ARGO/ROC,15.66,5.607
7621,2019-09-04,002670C,1.0,OAMZ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Lavatoio,MET60SX,MOB.C/LAVAT.DX - VASCHETTA A SX,123.88,91.0
7622,2019-09-04,002671C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80005250,GRUPPO VALVOLA COMPLETO X ECO,17.36,13.05
7623,2019-09-04,002672C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,GR43985,LEVA COMPLETA GROHE,8.51,6.5444
7624,2019-09-04,002673C,1.0,OMAN,Condizionamento,Climatizzazione,Accessori Climatizzatori,PISC19,PILETTA 19 X SCARIC. CONDENS.,3.07,2.3095
7625,2019-09-04,002674C,2.0,OAMZ,Rubinetteria ed Accessori,Accessori Rubinetteria,Piletta Saltello,ASTINE,ASTINA PER SALTELLI,1.82,1.31
7626,2019-09-04,002675C,1.0,OYTB,Elettropompe e Serbatoi,Elettropompe ed Accessori,Elettropompe Sommerse,SCUBA,E.POMPA SC207C HP 1 KW 0 75 220V,229.15,188.5195
7627,2019-09-04,002676C,1.0,OMAN,Riscaldamento,Sicurezza Gas,Filtro e Raccordi Gas,SC,STAFFA PER CONTATORE GAS 1/2-1/2,11.29,8.515
7628,2019-09-04,002676C,1.0,OMAN,Riscaldamento,Sicurezza Gas,Centralina,CGASS/S,CONTATORE GAS CL.G4 S/ST.RS2001,41.8,33.125
7629,2019-09-04,002677C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,CR1030S2,CASSETTA PLUS 2,15.47,12.259
7630,2019-09-04,002678C,1.0,OMAN,Rubinetteria ed Accessori,Accessori Rubinetteria,Accessori per Cassetta WC,E1010,KIT TELAIO/VALV. BATTERIA,9.37,7.0739
7631,2019-09-04,002678C,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,GCN,FUNGHETTO CATIS TIPO NUOVO,0.5,0.4
7632,2019-09-04,002679C,2.0,OAMZ,Sanitari e Arredo Bagno,Ausili per Disabili,Ceramica e Accessori,CESER,EROGATORI PER VASO-BIDET,16.12,11.844
7633,2019-09-04,002680C,1.0,OMAN,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,RACCHETTATLAS,CHIAVE x CONTENITORI ATLAS 3P,3.95,2.98
7634,2019-09-04,002680C,5.0,OMAN,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,CFP,CARTUCCIA MIGNON FA SX - 25 mcrs,7.4,5.6
7635,2019-09-04,000468F,1.0,OMAN,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Box Doccia Angolare,SKIPPER70,BOX DOCCIA SKIP.VELA CM.70x70,92.2,73.0625
7636,2019-09-04,002681C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Piatti Doccia,AXA80C,PIATTO DOCCIA PORC.80 SEM.H11 BCO,55.1,39.4118
7637,2019-09-04,002682C,2.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Piatti Doccia,AXA80C,PIATTO DOCCIA PORC.80 SEM.H11 BCO,110.2,78.8236
7638,2019-09-04,002683C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,F09CGZ0R10,RUBINETTO GALLEGGIANTE REGOL. COES,22.02,16.6166
7639,2019-09-04,000469F,1.0,OYTB,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,STI100,SOTTOLAVELLO Cm.100 TEAK INOX,49.84,41.004
7640,2019-09-04,002684C,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Riduzione Sifone,022417,VITI X PILETTA BASKET TIPO LUNGO,0.66,0.4896
7641,2019-09-04,000031A,-1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Piletta Lavello,LI1745040,PILETTA BASKET x LAVELLO LIRA C/TP,-18.3,-14.77
7642,2019-09-04,000000A,-1.0,OMAN,Riscaldamento,Cucina Legna-Termocamini,Termocamino,QCD,QUADRETTO ELETTR.X CONTR.TERMOCAM.,40.69,-32.5
7643,2019-09-04,002686C,1.0,OYTB,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Dosatore e Accessori,90010135,CHIAVE FERRO X DOSAMAX BLU,1.52,1.25
7644,2019-09-04,002686C,1.0,OYTB,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Dosatore e Accessori,DOSAMAX,DOSATORE DOSAMAX C/STOP F.F.1/2  AQ,20.62,16.9625
7645,2019-09-04,000470F,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Coprivaso,CWFULL48,COPRIVASO FULL48 B.CO MOD.228.01,27.52,21.8161
7646,2019-09-05,002687C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,80130911,SPORTELLO X ECO NEW,18.98,14.26
7647,2019-09-05,000471F,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,525060,VALVOLA UNIV.DI SCARICO X DIAMANTE,19.91,14.95
7648,2019-09-05,002688C,2.0,OYTB,Riscaldamento,Caldaie,Tubo Termoconvettore,6YTUBOAL01,TUBO STANDARD MT.1 x WINDOR NF,11.7,10.1
7649,2019-09-05,002689C,1.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Accessori per Cassetta WC,AC808D,PULSANTE C/RACCORDO DORATO,49.78,43.0001
7650,2019-09-05,000472F,15.0,OMAN,Ferramenta e Hobbistica,Works,Accessori per Lavoro,E340V,MASCHER.FILTR.FFP3 C/VALVOLA DPI 3C,25.65,20.358
7651,2019-09-05,002690C,1.0,OAMZ,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone e Tubo in abs,LI9128501,SIFONE SPAZIO 2 NT BIANCO BOX LIRA,14.62,11.18
7652,2019-09-05,002691C,2.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Morsetti e Guarnizioni,251,RACC.ANTIRIFL.E ANTI RATTO 100/110,10.7,8.0806
7653,2019-09-05,000473F,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Sanitari,AVB2,LAVABO AD ANGOLO,34.83,26.78
7654,2019-09-05,000474F,1.0,OMAN,Sanitari e Arredo Bagno,Accessori Bagno,Piantana-Portascopino,GEDYED3403,P.SCOPINO DA MURO CROM.EDERA,18.34,14.53
7655,2019-09-05,000475F,10.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.11,MEMBRANA CHIUSURA x UNIBOX,6.0,4.742
7656,2019-09-05,000475F,10.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,1.09,MEMBRANA SOLLEV. x BATT.UNIBOX ITS,7.5,5.928
7657,2019-09-05,002692C,4.0,OMAN,Ferramenta e Hobbistica,Elementi di Fissaggio,Fissaggio per Radiatori,501CM23,MENSOLA PIATTA X RDT GHISA MM 230,1.92,1.4572
7658,2019-09-05,000476F,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Piletta Lavello,LI1945040,PILETTA BASKET x LAVELLO LIRA STP,13.86,10.98
7659,2019-09-05,002693C,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone per Scarico,SG116,SIFONE A S 11/4 S/PIL.A/LAT.TUBO 25,6.17,4.8875
7660,2019-09-05,002693C,4.0,OMAN,Ferramenta e Hobbistica,Elementi di Fissaggio,Fissaggio Sanitari,AC812BRON,FISSAGGIO VASO-BIDET BRON. PZ SING.,6.08,4.792
7661,2019-09-06,002694C,1.0,OAMZ,Rubinetteria ed Accessori,Rubinetteria,Rubinetto Snodo,PB454,RUBINETTO SNODO LEVA CLINICA PB,19.7,14.6713
7662,2019-09-06,002695C,3.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,6.28,MEMBRANA CHIUSURA X CURVA TODINI,1.86,1.6005
7663,2019-09-06,002695C,1.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Batteria Cassetta Wc,UNIBOX,BATTERIA DI SCARICO WC UNIBOX ITS,29.01,25.3
7664,2019-09-06,002695C,4.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,1.09,MEMBRANA SOLLEV. x BATT.UNIBOX ITS,2.76,2.3712
7665,2019-09-06,002695C,2.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.91,GRUPPO COMANDO x BATT. UNIBOX ITS,7.22,6.1652
7666,2019-09-06,002695C,1.0,OYTB,Rubinetteria ed Accessori,Rubinetteria,Miscelatore Lavabo,K200L,MONOC.LAVABO K LEVA CLIN. CR.11310L,30.19,27.104
7667,2019-09-06,000477F,3.0,OYTB,Riscaldamento,Componenti termici,Termostato,578160,CRONOTERM.GIOR.DIGITALE TECHNO DUO,102.84,88.8375
7668,2019-09-06,002696C,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone per Scarico,SGCOL11/4,SIFONE A COL. 11/4 S/PIL. TUBO 25CM,6.24,4.945
7669,2019-09-06,002696C,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone per Scarico,SG116,SIFONE A S 11/4 S/PIL.A/LAT.TUBO 25,6.17,4.8875
7670,2019-09-06,002697C,4.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.11,MEMBRANA CHIUSURA x UNIBOX,2.4,1.8968
7671,2019-09-06,002697C,6.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,1.09,MEMBRANA SOLLEV. x BATT.UNIBOX ITS,4.5,3.5568
7672,2019-09-06,000478F,5.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Tappo Piletta,BO47100T74S7,TAPPARELLO TAPPAGUASTI OTTONE,52.6,43.2795
7673,2019-09-06,002698C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,CR1030S2,CASSETTA PLUS 2,15.47,12.259
7674,2019-09-06,002699C,1.0,OMAN,Ferramenta e Hobbistica,Utensileria,Chiave da Utensileria,915300,LEVA X RADIATORI 11/4,8.52,6.425
7675,2019-09-06,002699C,1.0,OMAN,Ferramenta e Hobbistica,Utensileria,Chiave da Utensileria,915600,CHIAVE PER LEVE X RADIATORI,10.21,7.71
7676,2019-09-06,002700C,1.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Accessori per Cassetta WC,E1005,KIT BLOCCO CROMATO BATTERIA,15.38,12.6525
7677,2019-09-06,002701C,2.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Morsetti e Guarnizioni,251,RACC.ANTIRIFL.E ANTI RATTO 100/110,10.7,8.0806
7678,2019-09-06,000479F,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Vasca da bagno,CAL160X70TP,VASCA CALYPSO 160X70 C/TEL+PANNELLO,309.15,242.44
7679,2019-09-06,002702C,1.0,OYTB,Riscaldamento,Sicurezza Gas,Centralina,CGASS/S,CONTATORE GAS CL.G4 S/ST.RS2001,38.35,33.125
7680,2019-09-06,002702C,1.0,OYTB,Riscaldamento,Sicurezza Gas,Filtro e Raccordi Gas,SC3/4,STAFFA PER CONTATORE GAS 3/4-3/4,11.1,9.135
7681,2019-09-06,000480F,10.0,OYTB,Ferramenta e Hobbistica,Works,Abbigliamento da Lavoro,10134L,TUTA POLIP.PESO 30GR/M2 TG.L DPI 1C,10.4,8.97
7682,2019-09-06,000480F,9.0,OYTB,Ferramenta e Hobbistica,Works,Abbigliamento da Lavoro,10355XL,TUTA POLIP.P.60GR/M2 TG.XL DPI 3C,21.42,18.486
7683,2019-09-06,000480F,4.0,OYTB,Ferramenta e Hobbistica,Works,Abbigliamento da Lavoro,10355XXL,TUTA POLIP.P.60GR/M2 TG.XXL DPI 3C,9.52,8.216
7684,2019-09-06,000000A,-4.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,1.09,MEMBRANA SOLLEV. x BATT.UNIBOX ITS,2.77,-2.3712
7685,2019-09-06,000000A,-2.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.91,GRUPPO COMANDO x BATT. UNIBOX ITS,7.21,-6.1652
7686,2019-09-06,000000A,-1.0,OYTB,Rubinetteria ed Accessori,Rubinetteria,Miscelatore Lavabo,K200L,MONOC.LAVABO K LEVA CLIN. CR.11310L,30.19,-27.104
7687,2019-09-06,000000A,-3.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,6.28,MEMBRANA CHIUSURA X CURVA TODINI,1.87,-1.6005
7688,2019-09-06,000000A,-1.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Batteria Cassetta Wc,UNIBOX,BATTERIA DI SCARICO WC UNIBOX ITS,29.01,-25.3
7689,2019-09-06,000481F,4.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,1.09,MEMBRANA SOLLEV. x BATT.UNIBOX ITS,2.77,2.3712
7690,2019-09-06,000481F,2.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.91,GRUPPO COMANDO x BATT. UNIBOX ITS,7.21,6.1652
7691,2019-09-06,000481F,1.0,OYTB,Rubinetteria ed Accessori,Rubinetteria,Miscelatore Lavabo,K200L,MONOC.LAVABO K LEVA CLIN. CR.11310L,30.19,27.104
7692,2019-09-06,000481F,3.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,6.28,MEMBRANA CHIUSURA X CURVA TODINI,1.87,1.6005
7693,2019-09-06,000481F,1.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Batteria Cassetta Wc,UNIBOX,BATTERIA DI SCARICO WC UNIBOX ITS,29.01,25.3
7694,2019-09-09,000000A,-3.0,OAMZ,Sanitari e Arredo Bagno,Radiatori,Radiatore Estruso,GARDA100/3,RADIAT.ALL.GARDA DUAL h.100 3EL.,67.59,-52.8333
7695,2019-09-09,002705C,1.0,OAMZ,Condizionamento,Climatizzazione,Accessori Climatizzatori,PISC19,PILETTA 19 X SCARIC. CONDENS.,3.12,2.3095
7696,2019-09-09,002706C,2.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Sifone per Scarico,SGCOL11/4,SIFONE A COL. 11/4 S/PIL. TUBO 25CM,12.48,9.89
7697,2019-09-09,002707C,2.0,OMAN,Rubinetteria ed Accessori,Rubinetteria,Doccia Incasso,PB362,INCASSO DOCCIA TEMPOR.ART362PB,67.08,53.156
7698,2019-09-09,002709C,1.0,OAMZ,Elettropompe e Serbatoi,Elettropompe ed Accessori,Elettropompe,PKM60,E.POMPA PKM60 HP 0 5 KW 0 37 220V,46.26,36.8
7699,2019-09-09,002710C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Piatti Doccia,AXA80*80,PIATTO DOCCIA PORC.80X80 H10 B.CO,43.9,32.9728
7700,2019-09-09,002711C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Sanitari,C1/C,LAVABO ELITE CHAMPAGNE 65 CM,57.34,43.2806
7701,2019-09-09,002712C,4.0,OMAN,Ferramenta e Hobbistica,Elementi di Fissaggio,Fissaggio per Radiatori,501CM19,MENSOLA PIATTA X RDT GHISA MM 190,1.84,1.366
7702,2019-09-09,002713C,1.0,OAMZ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SBI120,SOTTOLAVELLO Cm.120 B.CO FRAS. INOX,61.52,45.6
7703,2019-09-09,002714C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Accessori Sanitari,MAMOPRESS,COPPIA CERNIERE OTT. C/TASSEL.MAMO,5.79,4.5839
7704,2019-09-09,002715C,1.0,OMAN,Elettropompe e Serbatoi,Serbatoi e Bollitori,Idrosfere e Accessori,BAR20CMINOX,VASO D''ESPANS. INOX LT.20 C/MEMBR.,107.33,81.0095
7705,2019-09-09,002716C,1.0,OMAN,Sanitari e Arredo Bagno,Sanitari,Piatti Doccia,AXA75C,PIATTO DOCCIA 75 SEMICIRC.BCO R50,58.37,46.25
7706,2019-09-09,002717C,1.0,OMAN,Sanitari e Arredo Bagno,Ausili per Disabili,Ceramica e Accessori,THE350N,SPECCHIO C/INC.REGOL. 607X657,84.96,64.125
7707,2019-09-09,002718C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,GR43896,LEVA xVALVOLA DI SCARICO CASS.GROHE,10.79,7.8703
7708,2019-09-09,002719C,3.0,OMAN,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDYPI2135,P.SALVIETTE CM. 35 G.PIRENEI CROM.,62.79,47.385
7709,2019-09-09,002719C,1.0,OMAN,Sanitari e Arredo Bagno,Accessori Bagno,Portarotolo,GEDYPI24,P.ROTOLO G.PIRENEI CR. CART/APP.,12.55,9.477
7710,2019-09-09,002720C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Sanitari,EASY2B,BIDET  B.CO EASY2,167.75,132.3513
7711,2019-09-09,002721C,1.0,OMAN,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Lavello Inox,LAS80,LAVELLO INOX CM.80 V.S.,56.38,42.5513
7712,2019-09-09,002721C,1.0,OMAN,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SBI80,SOTTOLAVELLO Cm.80 B.CO FRAS. INOX,50.89,38.4
7713,2019-09-09,002722C,100.0,OYTB,Ferramenta e Hobbistica,Works,Accessori per Lavoro,023707,GUANTI NYLON/NITRILE TG. 9,48.0,41.18
7714,2019-09-09,002723C,1.0,OAMZ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SBI120,SOTTOLAVELLO Cm.120 B.CO FRAS. INOX,61.52,45.6
7715,2019-09-09,000482F,1.0,OMAN,Ferramenta e Hobbistica,Utensileria,Chiave da Utensileria,HAZET,CHIAVE PER COLLETTORI EC.22/24,12.53,9.464
7716,2019-09-09,002724C,2.0,OMAN,Rubinetteria ed Accessori,Accessori Rubinetteria,Distanziatore per Vasca,DIST10,DISTANZIATORE ECC. 1/2x3/4 CM.10 PB,13.08,10.3596
7717,2019-09-09,002725C,1.0,OAMZ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SBI120,SOTTOLAVELLO Cm.120 B.CO FRAS. INOX,61.52,45.6
7718,2019-09-09,002726C,1.0,OMAN,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SLOI120,SOTTOLAVEL.Cm.120 B.CO/OLMO X INOX,60.42,45.6
7719,2019-09-09,000483F,3.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Box Doccia a Soffietto,DELTA3X80,BOX DOCCIA DELTA 3 LATI DA CM.80,371.55,320.9655
7720,2019-09-09,002727C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,1792180,GHIERA FISSAGGIO PLACCA,2.45,1.8
7721,2019-09-09,002728C,1.0,OAMZ,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,MIGNON2,FILTRO DOSAFOS MIGNON C/SALI S3PMFO,17.57,12.91
7722,2019-09-09,002729C,1.0,OAMZ,Sanitari e Arredo Bagno,Arredo Bagno e Accessori,Mobile Sottolavello,SBI120,SOTTOLAVELLO Cm.120 B.CO FRAS. INOX,61.52,45.6
7723,2019-09-09,002730C,1.0,OYTB,Sanitari e Arredo Bagno,Accessori Bagno,Appendino,GEDY6928,APPENDIABITI DOPPIO COLORADO CROMO,6.13,5.3
7724,2019-09-09,002730C,1.0,OYTB,Sanitari e Arredo Bagno,Accessori Bagno,Portarotolo,GEDY6924,P.ROTOLO COLORADO CROMO,10.74,9.27
7725,2019-09-09,002730C,1.0,OYTB,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDY6970,P.SALVIETIETTE AD ANELLO COLORADO,12.89,11.13
7726,2019-09-09,002730C,1.0,OYTB,Sanitari e Arredo Bagno,Accessori Bagno,Portasalviette,GEDY6923,P.SALVIETTE SNODO  COLORADO,26.39,22.79
7727,2019-09-09,002731C,1.0,OAMZ,Elettropompe e Serbatoi,Filtri-Depurazione Acqua,Filtro Acqua e Accessori,FA1/2,FILTRO AUTOPULENTE F 1/2  M 3/4,28.75,21.1208
7728,2019-09-09,002732C,1.0,OMAN,Riscaldamento,Canne Fumarie,Canna Fumaria,TPCFS80,TERMINALE PELLET INOX MPAR 80,14.18,10.6999
7729,2019-09-09,002733C,1.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,GCN,FUNGHETTO CATIS TIPO NUOVO,0.46,0.4
7730,2019-09-09,002734C,3.0,OMAN,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Soffione Doccia,CDPB,CIPOLLA DOCCIA,9.84,7.4256
7731,2019-09-09,002735C,1.0,EBAY,Sanitari e Arredo Bagno,Sanitari,Cassetta e Accessori Wc,522/23/4,RUBINETTO GALLEGG.3/4 T.SICILIA.,12.87,4.7746
7732,2019-09-10,000484F,3.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Doccetta Lavabo,JTA-11C,DOCCETTA MONOGETTO  AGATA  CROMATA,7.5,6.1626
7733,2019-09-10,000484F,3.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Flessibile Doccia,CARONTE2,LACCIO DOCCIA SILVER MT.2 CARONTE,17.61,14.4942
7734,2019-09-10,000484F,3.0,OYTB,Rubinetteria ed Accessori,Accessori Rubinetteria,Flessibile Doccia,FDE250,FLESSIBILE DOCCIA ESTENS. 200-250CM,8.97,7.371
7735,2019-09-10,000485F,1.0,OYTB,Rubinetteria ed Accessori,Sistemi Di Scarico,Morsetti e Guarnizioni,251,RACC.ANTIRIFL.E ANTI RATTO 100/110,4.91,4.0403
7736,2019-09-10,002736C,1.0,OAMZ,Sanitari e Arredo Bagno,Sanitari,Piatti Doccia,AXA65*65,PIATTO DOCCIA PORC. 65x65 B.CO,38.28,28.75
7737,2019-09-10,000486F,1.0,OMAN,Elettropompe e Serbatoi,Serbatoi e Bollitori,Accessori per Serbatoi,MAXIS,ALIMENT.D''ARIA MAXI MAX LT4000 S/F,81.2,61.2932
7738,2019-09-10,000487F,10.0,OYTB,Sanitari e Arredo Bagno,Box Doccia ed Accessori,Supporto Doccia,SCOR25,SCORREVOLE IN ABS CROMO 25,26.3,22.75
7739,2019-09-10,002737C,1.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,5.11,MEMBRANA CHIUSURA x UNIBOX,0.6,0.4742
7740,2019-09-10,002737C,2.0,OMAN,Rubinetteria ed Accessori,Sistemi Di Scarico,Accessori per Cassetta WC,1.09,MEMBRANA SOLLEV. x BATT.UNIBOX ITS,1.5,1.1856
